№,Hours,Minutes,Seconds,Microseconds
1,19,9,58,860695
2,19,9,58,965752
3,19,9,59,70820
4,19,9,59,175878
5,19,9,59,276327
6,19,9,59,380141
7,19,9,59,484327
8,19,9,59,588524
9,19,9,59,692849
10,19,9,59,798056
11,19,9,59,903129
12,19,10,0,8200
13,19,10,0,113293
14,19,10,0,218405
15,19,10,0,322018
16,19,10,0,424450
17,19,10,0,528655
18,19,10,0,633961
19,19,10,0,739239
20,19,10,0,841919
21,19,10,0,942727
22,19,10,1,47693
23,19,10,1,151908
24,19,10,1,257045
25,19,10,1,362479
26,19,10,1,464362
27,19,10,1,567647
28,19,10,1,668659
29,19,10,1,769859
30,19,10,1,874884
31,19,10,1,980163
32,19,10,2,84308
33,19,10,2,186798
34,19,10,2,292278
35,19,10,2,397408
36,19,10,2,502679
37,19,10,2,607153
38,19,10,2,708163
39,19,10,2,813452
40,19,10,2,916992
41,19,10,3,22239
42,19,10,3,127487
43,19,10,3,230968
44,19,10,3,335697
45,19,10,3,436283
46,19,10,3,541592
47,19,10,3,642609
48,19,10,3,746820
49,19,10,3,848383
50,19,10,3,952144
51,19,10,4,57376
52,19,10,4,161488
53,19,10,4,262981
54,19,10,4,368262
55,19,10,4,473516
56,19,10,4,575449
57,19,10,4,680747
58,19,10,4,786026
59,19,10,4,891198
60,19,10,4,996327
61,19,10,5,101548
62,19,10,5,203093
63,19,10,5,308379
64,19,10,5,413383
65,19,10,5,516987
66,19,10,5,617503
67,19,10,5,720139
68,19,10,5,825207
69,19,10,5,930271
70,19,10,6,35395
71,19,10,6,138230
72,19,10,6,241987
73,19,10,6,347290
74,19,10,6,450561
75,19,10,6,551068
76,19,10,6,655199
77,19,10,6,760340
78,19,10,6,865456
79,19,10,6,966848
80,19,10,7,71999
81,19,10,7,177112
82,19,10,7,282236
83,19,10,7,387374
84,19,10,7,492538
85,19,10,7,597824
86,19,10,7,699160
87,19,10,7,800496
88,19,10,7,905951
89,19,10,8,8968
90,19,10,8,112383
91,19,10,8,217026
92,19,10,8,321696
93,19,10,8,427123
94,19,10,8,532374
95,19,10,8,633812
96,19,10,8,739053
97,19,10,8,842203
98,19,10,8,947478
99,19,10,9,50310
100,19,10,9,152254
101,19,10,9,257556
102,19,10,9,361095
103,19,10,9,466200
104,19,10,9,569413
105,19,10,9,671531
106,19,10,9,776775
107,19,10,9,881957
108,19,10,9,987031
109,19,10,10,92143
110,19,10,10,197423
111,19,10,10,300301
112,19,10,10,405594
113,19,10,10,509474
114,19,10,10,614726
115,19,10,10,716465
116,19,10,10,817142
117,19,10,10,918867
118,19,10,11,24168
119,19,10,11,129436
120,19,10,11,235377
121,19,10,11,340592
122,19,10,11,446377
123,19,10,11,550744
124,19,10,11,653381
125,19,10,11,758697
126,19,10,11,863523
127,19,10,11,967030
128,19,10,12,72275
129,19,10,12,176870
130,19,10,12,282127
131,19,10,12,383839
132,19,10,12,484854
133,19,10,12,589638
134,19,10,12,694965
135,19,10,12,797480
136,19,10,12,899153
137,19,10,13,917
138,19,10,13,102176
139,19,10,13,204144
140,19,10,13,307897
141,19,10,13,409979
142,19,10,13,515286
143,19,10,13,617122
144,19,10,13,722370
145,19,10,13,826765
146,19,10,13,932012
147,19,10,14,33972
148,19,10,14,139235
149,19,10,14,241319
150,19,10,14,346596
151,19,10,14,451924
152,19,10,14,557227
153,19,10,14,657912
154,19,10,14,763147
155,19,10,14,866825
156,19,10,14,971950
157,19,10,15,77094
158,19,10,15,182310
159,19,10,15,283755
160,19,10,15,388448
161,19,10,15,492716
162,19,10,15,597445
163,19,10,15,700414
164,19,10,15,805685
165,19,10,15,911000
166,19,10,16,16246
167,19,10,16,118882
168,19,10,16,222165
169,19,10,16,327432
170,19,10,16,432736
171,19,10,16,534875
172,19,10,16,640146
173,19,10,16,742409
174,19,10,16,847688
175,19,10,16,949904
176,19,10,17,54178
